,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
303,Renal Cell Carcinoma,bevacizumab,Low,Sparingly soluble,Non-toxic,Erythropoietin
304,Renal Cell Carcinoma,cabozantinib,Low,Poorly soluble,Mildly toxic,Erythropoietin
305,Renal Cell Carcinoma,medroxyprogesterone,Moderate,Sparingly soluble,Mildly toxic,Erythropoietin
306,Renal Cell Carcinoma,aldesleukin,High,Poorly soluble,Non-toxic,Erythropoietin
307,Renal Cell Carcinoma,capecitabine,High,Water-soluble,Non-toxic,Erythropoietin
308,Renal Cell Carcinoma,temsirolimus,Low,Sparingly soluble,Highly toxic,Erythropoietin
309,Renal Cell Carcinoma,lenvatinib,Moderate,Sparingly soluble,Mildly toxic,Erythropoietin
310,Adenosine Deaminase Deficiency,pegademase bovine,Moderate,Water-soluble,Non-toxic,Electrolytes
311,Adenosine Deaminase Deficiency,elapegademase,Low,Lipid-soluble,Highly toxic,Electrolytes
312,Adenovirus Prophylaxis,adenovirus vaccine,High,Lipid-soluble,Highly toxic,Electrolytes
313,ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate,Low,Sparingly soluble,Non-toxic,Electrolytes
314,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine,High,Sparingly soluble,Mildly toxic,Electrolytes
315,ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine,Low,Water-soluble,Highly toxic,Electrolytes
316,ADHD (Attention Deficit Hyperactivity Disorder),clonidine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
317,ADHD (Attention Deficit Hyperactivity Disorder),bupropion,High,Sparingly soluble,Highly toxic,Electrolytes
318,ADHD (Attention Deficit Hyperactivity Disorder),guanfacine,High,Lipid-soluble,Mildly toxic,Electrolytes
319,ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine,Low,Sparingly soluble,Non-toxic,Electrolytes
320,ADHD (Attention Deficit Hyperactivity Disorder),amphetamine,High,Lipid-soluble,Highly toxic,Electrolytes
321,ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine,High,Sparingly soluble,Highly toxic,Electrolytes
322,Frozen Shoulder,diclofenac,Low,Sparingly soluble,Mildly toxic,Electrolytes
323,Frozen Shoulder,ibuprofen,Moderate,Sparingly soluble,Non-toxic,Electrolytes
324,Frozen Shoulder,naproxen,Low,Poorly soluble,Highly toxic,Electrolytes
325,Frozen Shoulder,nabumetone,Moderate,Sparingly soluble,Highly toxic,Electrolytes
326,Frozen Shoulder,piroxicam,High,Water-soluble,Mildly toxic,Electrolytes
327,Frozen Shoulder,indomethacin,Low,Water-soluble,Mildly toxic,Electrolytes
328,Frozen Shoulder,triamcinolone,Moderate,Water-soluble,Highly toxic,Electrolytes
329,Dercum's Disease,fentanyl,Low,Lipid-soluble,Highly toxic,Electrolytes
330,Dercum's Disease,pregabalin,High,Water-soluble,Mildly toxic,Electrolytes
331,Adjunct to Antibiotic Therapy,probenecid,High,Water-soluble,Non-toxic,Electrolytes
332,Polycystic Kidney Disease,enalapril,High,Sparingly soluble,Highly toxic,Erythropoietin
333,Polycystic Kidney Disease,lisinopril,Low,Lipid-soluble,Highly toxic,Erythropoietin
334,Polycystic Kidney Disease,captopril,High,Water-soluble,Highly toxic,Erythropoietin
335,Adrenal Cortical Carcinoma,mitotane,Low,Lipid-soluble,Mildly toxic,Erythropoietin
336,Adrenal Insufficiency,dexamethasone,Moderate,Water-soluble,Mildly toxic,Erythropoietin
337,Adrenal Insufficiency,cortisone,Low,Sparingly soluble,Non-toxic,Erythropoietin
338,Adrenal Insufficiency,dexamethasone,Low,Lipid-soluble,Non-toxic,Erythropoietin
339,Adrenal Insufficiency,cortisone,High,Water-soluble,Non-toxic,Erythropoietin
340,Adrenal Insufficiency,dexamethasone,Moderate,Lipid-soluble,Non-toxic,Erythropoietin
341,Adrenal Insufficiency,cortisone,Low,Poorly soluble,Non-toxic,Erythropoietin
342,Adrenal Insufficiency,dexamethasone,High,Sparingly soluble,Highly toxic,Erythropoietin
343,Adrenal Insufficiency,cortisone,Low,Water-soluble,Highly toxic,Erythropoietin
344,Adrenocortical Insufficiency,hydrocortisone,High,Water-soluble,Mildly toxic,Electrolytes
345,Adrenocortical Insufficiency,prednisone,High,Poorly soluble,Non-toxic,Electrolytes
346,Adrenocortical Insufficiency,dexamethasone,High,Lipid-soluble,Non-toxic,Electrolytes
347,Adrenocortical Insufficiency,triamcinolone,High,Water-soluble,Highly toxic,Electrolytes
348,Adrenocortical Insufficiency,cosyntropin,High,Poorly soluble,Mildly toxic,Electrolytes
349,Adrenogenital Syndrome,fludrocortisone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
350,Adrenogenital Syndrome,prednisone,High,Water-soluble,Non-toxic,Electrolytes
351,Adrenogenital Syndrome,dexamethasone,Low,Poorly soluble,Highly toxic,Electrolytes
352,Adrenogenital Syndrome,methylprednisolone,High,Lipid-soluble,Highly toxic,Electrolytes
353,Adult Human Growth Hormone Deficiency,somatropin,Low,Water-soluble,Highly toxic,Electrolytes
354,Still's Disease,anakinra,Moderate,Lipid-soluble,Non-toxic,Electrolytes
355,Still's Disease,tocilizumab,High,Water-soluble,Non-toxic,Electrolytes
356,Still's Disease,etanercept,High,Water-soluble,Non-toxic,Electrolytes
357,Still's Disease,anakinra,Moderate,Lipid-soluble,Highly toxic,Electrolytes
358,Still's Disease,tocilizumab,Low,Lipid-soluble,Mildly toxic,Electrolytes
359,Still's Disease,etanercept,Moderate,Water-soluble,Mildly toxic,Electrolytes
360,Atrial Fibrillation,digoxin,Low,Water-soluble,Mildly toxic,Electrolytes
361,Atrial Fibrillation,metoprolol,High,Lipid-soluble,Non-toxic,Electrolytes
362,Atrial Fibrillation,diltiazem,High,Lipid-soluble,Highly toxic,Electrolytes
363,Atrial Fibrillation,flecainide,High,Lipid-soluble,Mildly toxic,Electrolytes
364,Atrial Fibrillation,sotalol,High,Sparingly soluble,Mildly toxic,Electrolytes
365,Atrial Fibrillation,carvedilol,Moderate,Sparingly soluble,Highly toxic,Electrolytes
366,Atrial Fibrillation,propafenone,Low,Sparingly soluble,Non-toxic,Electrolytes
367,Atrial Fibrillation,rivaroxaban,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
368,Atrial Fibrillation,dronedarone,Moderate,Sparingly soluble,Highly toxic,Electrolytes
369,Atrial Fibrillation,clonidine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
370,Atrial Fibrillation,propranolol,Moderate,Sparingly soluble,Non-toxic,Electrolytes
371,Atrial Fibrillation,digoxin,High,Sparingly soluble,Mildly toxic,Electrolytes
372,Atrial Fibrillation,metoprolol,High,Lipid-soluble,Non-toxic,Electrolytes
373,Atrial Fibrillation,diltiazem,High,Poorly soluble,Non-toxic,Electrolytes
374,Atrial Fibrillation,flecainide,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
375,Atrial Fibrillation,sotalol,Low,Lipid-soluble,Non-toxic,Electrolytes
376,Atrial Fibrillation,carvedilol,Low,Water-soluble,Mildly toxic,Electrolytes
377,Atrial Fibrillation,propafenone,Moderate,Lipid-soluble,Highly toxic,Electrolytes
378,Atrial Fibrillation,rivaroxaban,Low,Sparingly soluble,Non-toxic,Electrolytes
379,Atrial Fibrillation,dronedarone,Moderate,Poorly soluble,Highly toxic,Electrolytes
380,Atrial Fibrillation,clonidine,Low,Lipid-soluble,Highly toxic,Electrolytes
381,Atrial Fibrillation,propranolol,High,Lipid-soluble,Mildly toxic,Electrolytes
382,Trypanosomiasis,pentamidine,High,Water-soluble,Mildly toxic,Electrolytes
383,Trypanosomiasis,benznidazole,High,Lipid-soluble,Highly toxic,Electrolytes
384,Aggressive Behavior,haloperidol,Moderate,Poorly soluble,Highly toxic,Electrolytes
385,Agitated State,aripiprazole,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
386,Agitated State,olanzapine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
387,Agitated State,loxapine,Moderate,Water-soluble,Highly toxic,Electrolytes
388,Agitation,risperidone,High,Lipid-soluble,Mildly toxic,Electrolytes
389,Agitation,olanzapine,High,Water-soluble,Non-toxic,Electrolytes
390,Agitation,citalopram,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
391,Agitation,amitriptyline / perphenazine,Moderate,Sparingly soluble,Non-toxic,Electrolytes
392,Agitation,loxapine,Moderate,Poorly soluble,Non-toxic,Electrolytes
393,Myelofibrosis,ruxolitinib,Moderate,Lipid-soluble,Highly toxic,Electrolytes
394,Myelofibrosis,fedratinib,High,Water-soluble,Non-toxic,Electrolytes
395,Agoraphobia,fluoxetine,Low,Sparingly soluble,Highly toxic,Electrolytes
396,Neutropenia,filgrastim,Low,Poorly soluble,Highly toxic,Electrolytes
397,HIV Infection,lamivudine,Low,Poorly soluble,Mildly toxic,Antibodies
398,HIV Infection,efavirenz / emtricitabine / tenofovir,High,Poorly soluble,Mildly toxic,Antibodies
399,HIV Infection,ritonavir,High,Lipid-soluble,Non-toxic,Antibodies
400,HIV Infection,emtricitabine / tenofovir,High,Poorly soluble,Highly toxic,Antibodies
401,HIV Infection,tenofovir,Moderate,Lipid-soluble,Highly toxic,Antibodies
402,HIV Infection,abacavir,High,Poorly soluble,Non-toxic,Antibodies
403,AIDS Related Wasting,dronabinol,Moderate,Poorly soluble,Non-toxic,Electrolytes
404,AIDS Related Wasting,megestrol,Moderate,Water-soluble,Non-toxic,Electrolytes
405,AIDS Related Wasting,somatropin,Low,Water-soluble,Mildly toxic,Electrolytes
406,AIDS Related Wasting,dronabinol,Moderate,Water-soluble,Mildly toxic,Electrolytes
407,AIDS Related Wasting,megestrol,High,Water-soluble,Highly toxic,Electrolytes
408,AIDS Related Wasting,somatropin,High,Water-soluble,Non-toxic,Electrolytes
409,AIDS Related Wasting,dronabinol,Moderate,Poorly soluble,Highly toxic,Electrolytes
410,AIDS Related Wasting,megestrol,Moderate,Poorly soluble,Highly toxic,Electrolytes
411,AIDS Related Wasting,somatropin,Low,Sparingly soluble,Non-toxic,Electrolytes
412,HIV Infection,lamivudine,High,Water-soluble,Non-toxic,Antibodies
413,HIV Infection,efavirenz / emtricitabine / tenofovir,High,Poorly soluble,Non-toxic,Antibodies
414,HIV Infection,ritonavir,Moderate,Sparingly soluble,Mildly toxic,Antibodies
415,HIV Infection,emtricitabine / tenofovir,Low,Poorly soluble,Highly toxic,Antibodies
416,HIV Infection,tenofovir,Moderate,Poorly soluble,Mildly toxic,Antibodies
417,HIV Infection,abacavir,Low,Lipid-soluble,Mildly toxic,Antibodies
418,Akathisia,propranolol,Low,Poorly soluble,Non-toxic,Electrolytes
419,Alcohol Dependence,naltrexone,High,Sparingly soluble,Highly toxic,Electrolytes
420,Alcohol Dependence,acamprosate,High,Lipid-soluble,Mildly toxic,Electrolytes
421,Alcohol Dependence,disulfiram,High,Poorly soluble,Highly toxic,Electrolytes
422,Alcohol Dependence,ondansetron,Moderate,Sparingly soluble,Highly toxic,Electrolytes
423,Alcoholism,gabapentin enacarbil,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
424,Alcohol Withdrawal,gabapentin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
425,Alcohol Withdrawal,baclofen,High,Sparingly soluble,Non-toxic,Electrolytes
426,Alcohol Withdrawal,chlordiazepoxide,Low,Lipid-soluble,Mildly toxic,Electrolytes
427,Alcohol Withdrawal,diazepam,Moderate,Water-soluble,Highly toxic,Electrolytes
428,Alcohol Withdrawal,clonidine,High,Lipid-soluble,Highly toxic,Electrolytes
429,Alcohol Withdrawal,atenolol,Moderate,Sparingly soluble,Non-toxic,Electrolytes
430,Alcohol Withdrawal,oxazepam,Low,Water-soluble,Non-toxic,Electrolytes
431,Alcohol Withdrawal,clorazepate,Moderate,Poorly soluble,Highly toxic,Electrolytes
432,Alcohol Withdrawal,gabapentin,Moderate,Poorly soluble,Mildly toxic,Electrolytes
433,Alcohol Withdrawal,baclofen,High,Lipid-soluble,Mildly toxic,Electrolytes
434,Alcohol Withdrawal,chlordiazepoxide,Low,Water-soluble,Mildly toxic,Electrolytes
435,Alcohol Withdrawal,diazepam,High,Sparingly soluble,Mildly toxic,Electrolytes
436,Alcohol Withdrawal,clonidine,Low,Water-soluble,Highly toxic,Electrolytes
437,Alcohol Withdrawal,atenolol,Moderate,Sparingly soluble,Highly toxic,Electrolytes
438,Alcohol Withdrawal,oxazepam,Moderate,Lipid-soluble,Highly toxic,Electrolytes
439,Alcohol Withdrawal,clorazepate,High,Poorly soluble,Highly toxic,Electrolytes
440,Alcoholic Liver Damage,propylthiouracil,High,Sparingly soluble,Highly toxic,Albumin
441,Alcoholic Liver Damage,oxandrolone,Moderate,Lipid-soluble,Mildly toxic,Albumin
442,Alcoholic Liver Damage,propylthiouracil,Low,Lipid-soluble,Highly toxic,Albumin
443,Alcoholic Liver Damage,oxandrolone,High,Water-soluble,Mildly toxic,Albumin
444,Alcoholic Liver Damage,propylthiouracil,Low,Water-soluble,Non-toxic,Albumin
445,Alcoholic Liver Damage,oxandrolone,Moderate,Lipid-soluble,Mildly toxic,Albumin
446,Alcoholism,gabapentin enacarbil,High,Lipid-soluble,Mildly toxic,Electrolytes
447,Vaginal pH Imbalance,hydroxyquinoline,High,Poorly soluble,Mildly toxic,Electrolytes
448,Alkalosis,ammonium chloride,Low,Sparingly soluble,Non-toxic,Electrolytes
449,Alkalosis,ammonium chloride,Moderate,Poorly soluble,Highly toxic,Electrolytes
450,Alkylating Agent Cystitis,sodium bicarbonate,Moderate,Water-soluble,Non-toxic,Antibodies
451,Alkylating Agent Cystitis,citric acid / sodium citrate,Moderate,Sparingly soluble,Non-toxic,Antibodies
452,Acute Lymphocytic Leukemia,prednisone,High,Water-soluble,Highly toxic,Electrolytes
453,Acute Lymphocytic Leukemia,vincristine,Low,Poorly soluble,Non-toxic,Electrolytes
454,Acute Lymphocytic Leukemia,cyclophosphamide,High,Poorly soluble,Highly toxic,Electrolytes
455,Acute Lymphocytic Leukemia,methotrexate,Moderate,Sparingly soluble,Non-toxic,Electrolytes
456,Acute Lymphocytic Leukemia,asparaginase escherichia coli,Moderate,Poorly soluble,Non-toxic,Electrolytes
457,Acute Lymphocytic Leukemia,daunorubicin,High,Lipid-soluble,Non-toxic,Electrolytes
458,Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi,High,Lipid-soluble,Highly toxic,Electrolytes
459,Acute Lymphocytic Leukemia,teniposide,High,Poorly soluble,Mildly toxic,Electrolytes
460,Allergic Asthma,terbutaline,Low,Sparingly soluble,Non-toxic,Oxygen
461,Allergic Asthma,salmeterol,Moderate,Sparingly soluble,Mildly toxic,Oxygen
462,"Conjunctivitis, Allergic",ketotifen,Low,Sparingly soluble,Non-toxic,IgE
463,"Conjunctivitis, Allergic",azelastine,High,Water-soluble,Non-toxic,IgE
464,"Conjunctivitis, Allergic",cromolyn,Moderate,Water-soluble,Highly toxic,IgE
465,"Conjunctivitis, Allergic",prednisone,Low,Water-soluble,Highly toxic,IgE
466,"Conjunctivitis, Allergic",prednisolone,Moderate,Water-soluble,Highly toxic,IgE
467,"Conjunctivitis, Allergic",epinastine,Moderate,Poorly soluble,Mildly toxic,IgE
468,"Conjunctivitis, Allergic",nedocromil,High,Lipid-soluble,Non-toxic,IgE
469,"Conjunctivitis, Allergic",bepotastine,Low,Sparingly soluble,Mildly toxic,IgE
470,"Conjunctivitis, Allergic",cetirizine,Moderate,Water-soluble,Non-toxic,IgE
471,"Conjunctivitis, Allergic",alcaftadine,Low,Water-soluble,Highly toxic,IgE
472,"Conjunctivitis, Allergic",carbinoxamine,Low,Water-soluble,Non-toxic,IgE
473,"Conjunctivitis, Allergic",doxylamine,Low,Water-soluble,Mildly toxic,IgE
474,Atopic Dermatitis,triamcinolone,High,Sparingly soluble,Highly toxic,Collagen Type I
475,Atopic Dermatitis,clobetasol,High,Lipid-soluble,Mildly toxic,Collagen Type I
476,Atopic Dermatitis,betamethasone,High,Lipid-soluble,Non-toxic,Collagen Type I
477,Atopic Dermatitis,fluocinonide,High,Poorly soluble,Non-toxic,Collagen Type I
478,Atopic Dermatitis,hydrocortisone,Moderate,Sparingly soluble,Non-toxic,Collagen Type I
479,Atopic Dermatitis,tacrolimus,Moderate,Lipid-soluble,Highly toxic,Collagen Type I
480,Atopic Dermatitis,prednisone,Low,Poorly soluble,Mildly toxic,Collagen Type I
481,Atopic Dermatitis,mometasone,Low,Sparingly soluble,Non-toxic,Collagen Type I
482,Atopic Dermatitis,desonide,Low,Water-soluble,Highly toxic,Collagen Type I
483,Atopic Dermatitis,fluocinolone,High,Poorly soluble,Mildly toxic,Collagen Type I
484,Atopic Dermatitis,desoximetasone,Low,Poorly soluble,Mildly toxic,Collagen Type I
485,Atopic Dermatitis,fluticasone,Moderate,Water-soluble,Highly toxic,Collagen Type I
486,Atopic Dermatitis,methylprednisolone,Moderate,Lipid-soluble,Mildly toxic,Collagen Type I
487,Atopic Dermatitis,dexamethasone,Moderate,Lipid-soluble,Mildly toxic,Collagen Type I
488,Atopic Dermatitis,azathioprine,Moderate,Sparingly soluble,Non-toxic,Collagen Type I
489,Allergic Reactions,diphenhydramine,Moderate,Sparingly soluble,Highly toxic,IgE
490,Allergic Reactions,prednisone,Moderate,Water-soluble,Highly toxic,IgE
491,Allergic Reactions,loratadine,Moderate,Water-soluble,Highly toxic,IgE
492,Allergic Reactions,epinephrine,Low,Sparingly soluble,Highly toxic,IgE
493,Allergic Reactions,chlorpheniramine,High,Lipid-soluble,Non-toxic,IgE
494,Allergic Reactions,promethazine,High,Poorly soluble,Highly toxic,IgE
495,Allergic Reactions,triamcinolone,Moderate,Water-soluble,Mildly toxic,IgE
496,Allergic Reactions,cyproheptadine,High,Water-soluble,Highly toxic,IgE
497,Allergic Reactions,diphenhydramine,Moderate,Water-soluble,Non-toxic,IgE
498,Allergic Reactions,prednisone,Moderate,Poorly soluble,Mildly toxic,IgE
499,Allergic Reactions,loratadine,Low,Lipid-soluble,Non-toxic,IgE
500,Allergic Reactions,epinephrine,Low,Sparingly soluble,Mildly toxic,IgE
501,Allergic Reactions,chlorpheniramine,Moderate,Lipid-soluble,Mildly toxic,IgE
502,Allergic Reactions,promethazine,Low,Water-soluble,Mildly toxic,IgE
503,Allergic Reactions,triamcinolone,High,Sparingly soluble,Highly toxic,IgE
504,Allergic Reactions,cyproheptadine,Moderate,Water-soluble,Mildly toxic,IgE
505,Allergic Rhinitis,cetirizine,Low,Poorly soluble,Non-toxic,IgE
506,Allergic Rhinitis,loratadine,Low,Lipid-soluble,Mildly toxic,IgE
507,Allergic Rhinitis,fluticasone,Low,Sparingly soluble,Mildly toxic,IgE
508,Allergic Rhinitis,montelukast,Low,Poorly soluble,Mildly toxic,IgE
509,Allergic Rhinitis,fexofenadine,Moderate,Sparingly soluble,Non-toxic,IgE
510,Allergic Rhinitis,azelastine,Moderate,Water-soluble,Highly toxic,IgE
511,Allergic Rhinitis,diphenhydramine,Low,Water-soluble,Highly toxic,IgE
512,Allergic Rhinitis,prednisone,Moderate,Water-soluble,Non-toxic,IgE
513,Allergic Rhinitis,levocetirizine,High,Lipid-soluble,Mildly toxic,IgE
514,Allergic Urticaria,hydroxyzine,Low,Poorly soluble,Mildly toxic,IgE
515,Allergic Urticaria,famotidine,High,Sparingly soluble,Non-toxic,IgE
516,Allergic Urticaria,triprolidine,Low,Lipid-soluble,Non-toxic,IgE
517,Allergic Urticaria,carbinoxamine,Moderate,Poorly soluble,Mildly toxic,IgE
518,Allergic Urticaria,tetracaine,Low,Water-soluble,Non-toxic,IgE
519,Allergies,hydroxyzine,High,Lipid-soluble,Non-toxic,Electrolytes
520,Allergies,levocetirizine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
521,Allergies,loratadine,Low,Poorly soluble,Non-toxic,Electrolytes
522,Allergies,doxylamine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
523,Allergies,corticotropin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
524,Allergies,triprolidine,Moderate,Poorly soluble,Highly toxic,Electrolytes
525,Allergies,dexbrompheniramine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
526,Allergies,chlorpheniramine / ibuprofen / phenylephrine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
527,Allergies,dexbrompheniramine / phenylephrine,Moderate,Sparingly soluble,Non-toxic,Electrolytes
528,Allergies,hydroxyzine,Low,Poorly soluble,Highly toxic,Electrolytes
529,Allergies,levocetirizine,High,Lipid-soluble,Non-toxic,Electrolytes
530,Allergies,loratadine,High,Poorly soluble,Highly toxic,Electrolytes
531,Allergies,doxylamine,Moderate,Poorly soluble,Highly toxic,Electrolytes
532,Allergies,corticotropin,Low,Water-soluble,Mildly toxic,Electrolytes
533,Allergies,triprolidine,Low,Poorly soluble,Mildly toxic,Electrolytes
534,Allergies,dexbrompheniramine,Low,Sparingly soluble,Non-toxic,Electrolytes
535,Allergies,chlorpheniramine / ibuprofen / phenylephrine,Moderate,Poorly soluble,Mildly toxic,Electrolytes
536,Allergies,dexbrompheniramine / phenylephrine,Moderate,Water-soluble,Highly toxic,Electrolytes
537,Alopecia,spironolactone,Low,Lipid-soluble,Mildly toxic,Electrolytes
538,Alopecia,minoxidil,High,Water-soluble,Mildly toxic,Electrolytes
539,Alopecia,triamcinolone,Moderate,Sparingly soluble,Non-toxic,Electrolytes
540,Alopecia,sulfasalazine,Low,Water-soluble,Non-toxic,Electrolytes
541,Alopecia,spironolactone,High,Water-soluble,Highly toxic,Electrolytes
542,Alopecia,minoxidil,High,Lipid-soluble,Highly toxic,Electrolytes
543,Alopecia,triamcinolone,Moderate,Water-soluble,Highly toxic,Electrolytes
544,Alopecia,sulfasalazine,High,Sparingly soluble,Highly toxic,Electrolytes
545,Thalassemia,hydroxyurea,High,Lipid-soluble,Mildly toxic,Electrolytes
